Lead_ID,Location,College,Year_of_Study,Program_Interest,Lead_Source
LD44374,Agra,Hindustan College of Science and Technology,4th,Electric Vehicle,College
LD44375,Mysore,All India Institute of Speech and Hearing,4th,Data Science,College
LD44376,Pune,Indian Institute of Technology Pune,1st,Prompt Engineering,LinkedIn
LD44377,Shimla,"DAV Centenary Public School, Shimla",4th,Data Analytics,Instagram
LD44378,Ahmedabad,Indian Institute of Technology Gandhinagar,4th,Software Engineering,WhatsApp
LD44379,Udaipur,Maharana Pratap University of Agriculture and Technology,3rd,Data Analytics,Mass-Mailing
LD44380,Shimla,St. Bede's College,1st,Data Analytics,LinkedIn
LD44381,Srinagar,"Government Medical College, Srinagar",2nd,Electric Vehicle,College
LD44382,Hyderabad,"Birla Institute of Technology and Science, Hyderabad",1st,Data Analytics,Google Form
LD44383,Srinagar,National Institute of Technology Srinagar,2nd,Finance,College
LD44384,Pune,University of Pune,2nd,Finance,Mass-Mailing
LD44385,Kolkata,Indian Institute of Technology Kharagpur,1st,AI,Mass-Mailing
LD44386,Shimla,St. Bede's College,3rd,Finance,LinkedIn
LD44387,Amritsar,BBK DAV College for Women,1st,Finance,Google Form
LD44388,Udaipur,Mohanlal Sukhadia University,3rd,Electric Vehicle,WhatsApp
LD44389,Srinagar,Sher-e-Kashmir University of Agricultural Sciences and Technology of Kashmir,1st,AI,Google Form
LD44390,Pune,Indian Institute of Technology Pune,4th,Finance,Instagram
LD44391,Varanasi,Banaras Hindu University,4th,Software Engineering,LinkedIn
LD44392,Udaipur,Vidya Bhawan Polytechnic College,2nd,Finance,LinkedIn
LD44393,Lucknow,University of Lucknow,4th,Data Science,Instagram
LD44394,Goa,Goa College of Engineering,1st,Data Analytics,Mass-Mailing
LD44395,Bangalore,Christ University,3rd,Electric Vehicle,LinkedIn
LD44396,Amritsar,"Khalsa College, Amritsar",1st,Prompt Engineering,LinkedIn
LD44397,Mysore,All India Institute of Speech and Hearing,2nd,Electric Vehicle,LinkedIn
LD44398,Agra,Hindustan College of Science and Technology,1st,AI,Mass-Mailing
LD44399,Delhi,All India Institute of Medical Sciences,1st,Data Science,Google Form
LD44400,Kolkata,Indian Institute of Technology Kharagpur,1st,Finance,LinkedIn
LD44401,Shimla,"DAV Centenary Public School, Shimla",2nd,Data Analytics,Instagram
LD44402,Pune,Symbiosis International University,1st,Electric Vehicle,Google Form
LD44403,Hyderabad,University of Hyderabad,3rd,AI,Collaboration
LD44404,Varanasi,Central Hindu School,3rd,Business Analytics,LinkedIn
LD44405,Jaipur,"Birla Institute of Technology and Science, Pilani",3rd,Finance,Google Form
LD44406,Mumbai,University of Mumbai,1st,Data Science,WhatsApp
LD44407,Hyderabad,University of Hyderabad,3rd,Accounting,Collaboration
LD44408,Mumbai,Indian Institute of Technology Bombay,4th,Robotics,Collaboration
LD44409,Amritsar,BBK DAV College for Women,1st,Data Science,Instagram
LD44410,Ahmedabad,Gujarat University,3rd,Prompt Engineering,LinkedIn
LD44411,Chennai,University of Madras,1st,Data Science,Google Form
LD44412,Jaipur,"Birla Institute of Technology and Science, Pilani",2nd,Data Analytics,Mass-Mailing
LD44413,Rishikesh,"All India Institute of Medical Sciences, Rishikesh",4th,Finance,LinkedIn
LD44414,Ahmedabad,Indian Institute of Management Ahmedabad,2nd,Finance,WhatsApp
LD44415,Chennai,Madras Christian College,3rd,Prompt Engineering,LinkedIn
LD44416,Pune,"College of Engineering, Pune",3rd,Prompt Engineering,Google Form
LD44417,Udaipur,Mohanlal Sukhadia University,1st,Prompt Engineering,Mass-Mailing
LD44418,Mysore,JSS Academy of Higher Education & Research,3rd,Electric Vehicle,LinkedIn
LD44419,Rishikesh,Dev Sanskriti Vishwavidyalaya,1st,Data Science,WhatsApp
LD44420,Bangalore,RV College of Engineering,4th,Data Analytics,Mass-Mailing
LD44421,Kolkata,Indian Institute of Technology Kharagpur,3rd,Finance,WhatsApp
LD44422,Bangalore,Indian Institute of Science,2nd,AI,College
LD44423,Mumbai,Tata Institute of Social Sciences,3rd,AI,Collaboration
LD44424,Amritsar,BBK DAV College for Women,4th,Data Analytics,Instagram
LD44425,Jaipur,"St. Xavier's College, Jaipur",4th,Prompt Engineering,LinkedIn
LD44426,Agra,Hindustan College of Science and Technology,4th,Data Analytics,Google Form
LD44427,Jaipur,"Birla Institute of Technology and Science, Pilani",4th,AI,College
LD44428,Rishikesh,Parmarth Niketan,4th,Data Analytics,Google Form
LD44429,Amritsar,"Khalsa College, Amritsar",1st,Business Analytics,Instagram
LD44430,Amritsar,Sri Guru Ram Das University of Health Sciences,2nd,Finance,WhatsApp
LD44431,Bangalore,Indian Institute of Science,2nd,Data Analytics,Google Form
LD44432,Agra,Agra College,1st,Data Science,WhatsApp
LD44433,Chennai,University of Madras,1st,Accounting,Collaboration
LD44434,Amritsar,"Hindu College, Amritsar",1st,Data Analytics,Instagram
LD44435,Bangalore,Christ University,4th,Business Analytics,WhatsApp
LD44436,Delhi,University of Delhi,4th,Electric Vehicle,LinkedIn
LD44437,Delhi,Jamia Millia Islamia,4th,Finance,Google Form
LD44438,Amritsar,Sri Guru Ram Das University of Health Sciences,1st,Software Engineering,LinkedIn
LD44439,Goa,National Institute of Oceanography,3rd,Data Analytics,Google Form
LD44440,Jaipur,Manipal University Jaipur,2nd,Accounting,College
LD44441,Bangalore,RV College of Engineering,1st,AI,WhatsApp
LD44442,Pune,"College of Engineering, Pune",3rd,Data Analytics,College
LD44443,Pune,Fergusson College,3rd,Data Science,College
LD44444,Ahmedabad,CEPT University,4th,Data Analytics,Instagram
LD44445,Pune,Symbiosis International University,4th,Business Analytics,Mass-Mailing
LD44446,Varanasi,Banaras Hindu University,4th,Electric Vehicle,Collaboration
LD44447,Udaipur,Pacific University,1st,Data Science,Mass-Mailing
LD44448,Mysore,"National Institute of Engineering, Mysore",4th,Data Analytics,Mass-Mailing
LD44449,Chennai,University of Madras,2nd,Business Analytics,LinkedIn
LD44450,Ahmedabad,Indian Institute of Technology Gandhinagar,2nd,Business Analytics,Google Form
LD44451,Jaipur,"St. Xavier's College, Jaipur",1st,Prompt Engineering,Collaboration
LD44452,Hyderabad,University of Hyderabad,4th,Data Science,Mass-Mailing
LD44453,Chennai,Indian Institute of Technology Madras,1st,Software Engineering,Google Form
LD44454,Delhi,Indian Institute of Technology Delhi,3rd,Software Engineering,Instagram
LD44455,Pune,Fergusson College,1st,Data Analytics,WhatsApp
LD44456,Agra,Hindustan College of Science and Technology,1st,Data Analytics,WhatsApp
LD44457,Pune,Fergusson College,2nd,Robotics,Mass-Mailing
LD44458,Delhi,Indian Institute of Technology Delhi,1st,AI,College
LD44459,Jaipur,"Birla Institute of Technology and Science, Pilani",3rd,Data Analytics,College
LD44460,Goa,"Birla Institute of Technology and Science, Goa",1st,Accounting,WhatsApp
LD44461,Chennai,Loyola College,4th,Software Engineering,Mass-Mailing
LD44462,Mumbai,Tata Institute of Social Sciences,2nd,Data Analytics,Collaboration
LD44463,Rishikesh,Parmarth Niketan,3rd,Data Analytics,Google Form
LD44464,Lucknow,University of Lucknow,4th,Data Analytics,Collaboration
LD44465,Rishikesh,Uttarakhand Sanskrit University,1st,Robotics,WhatsApp
LD44466,Bangalore,Christ University,2nd,Software Engineering,WhatsApp
LD44467,Varanasi,Sampurnanand Sanskrit University,1st,Business Analytics,Mass-Mailing
LD44468,Kolkata,Indian Institute of Technology Kharagpur,2nd,Robotics,Google Form
LD44469,Bangalore,Bangalore University,2nd,Business Analytics,Instagram
LD44470,Amritsar,Sri Guru Ram Das University of Health Sciences,1st,AI,College
LD44471,Jaipur,Manipal University Jaipur,4th,Data Science,WhatsApp
LD44472,Lucknow,University of Lucknow,3rd,Business Analytics,Mass-Mailing
LD44473,Shimla,St. Bede's College,1st,Accounting,LinkedIn
LD44474,Delhi,Indian Institute of Technology Delhi,3rd,Business Analytics,Instagram
LD44475,Jaipur,"St. Xavier's College, Jaipur",3rd,AI,Google Form
LD44476,Lucknow,King George's Medical University,4th,Software Engineering,Google Form
LD44477,Varanasi,Banaras Hindu University,2nd,Software Engineering,Google Form
LD44478,Shimla,"DAV Centenary Public School, Shimla",3rd,Robotics,WhatsApp
LD44479,Srinagar,National Institute of Technology Srinagar,3rd,Prompt Engineering,Collaboration
LD44480,Pune,"College of Engineering, Pune",4th,Business Analytics,College
LD44481,Kolkata,University of Calcutta,2nd,AI,Instagram
LD44482,Ahmedabad,Gujarat University,4th,AI,Instagram
LD44483,Rishikesh,Sri Hemkunt Sahib Public School,4th,AI,College
LD44484,Mumbai,Narsee Monjee Institute of Management Studies,3rd,Accounting,WhatsApp
LD44485,Varanasi,Banaras Hindu University,4th,Prompt Engineering,College
LD44486,Delhi,Jamia Millia Islamia,1st,AI,LinkedIn
LD44487,Lucknow,Babasaheb Bhimrao Ambedkar University,3rd,Accounting,Collaboration
LD44488,Srinagar,University of Kashmir,4th,Prompt Engineering,Mass-Mailing
LD44489,Agra,Dayalbagh Educational Institute,1st,Finance,Instagram
LD44490,Varanasi,Mahatma Gandhi Kashi Vidyapith,3rd,Accounting,Google Form
LD44491,Ahmedabad,Indian Institute of Management Ahmedabad,3rd,Business Analytics,Mass-Mailing
LD44492,Hyderabad,"Jawaharlal Nehru Technological University, Hyderabad",1st,Software Engineering,LinkedIn
LD44493,Goa,Padre Conceicao College of Engineering,2nd,Finance,Instagram
LD44494,Rishikesh,Sri Hemkunt Sahib Public School,2nd,Business Analytics,WhatsApp
LD44495,Udaipur,Pacific University,1st,Data Science,Instagram
LD44496,Lucknow,Indian Institute of Management Lucknow,3rd,Data Science,LinkedIn
LD44497,Lucknow,King George's Medical University,4th,Data Science,Google Form
LD44498,Delhi,Jamia Millia Islamia,4th,Robotics,LinkedIn
LD44499,Varanasi,Mahatma Gandhi Kashi Vidyapith,3rd,Accounting,College
LD44500,Jaipur,"Birla Institute of Technology and Science, Pilani",2nd,Data Science,College
LD44501,Hyderabad,Indian Institute of Technology Hyderabad,3rd,Software Engineering,LinkedIn
LD44502,Lucknow,Indian Institute of Management Lucknow,3rd,Electric Vehicle,WhatsApp
LD44503,Ahmedabad,Nirma University,2nd,Electric Vehicle,Instagram
LD44504,Shimla,"DAV Centenary Public School, Shimla",2nd,Robotics,Collaboration
LD44505,Agra,Hindustan College of Science and Technology,2nd,Electric Vehicle,Google Form
LD44506,Mysore,JSS Academy of Higher Education & Research,4th,Electric Vehicle,Mass-Mailing
LD44507,Amritsar,"Hindu College, Amritsar",3rd,Prompt Engineering,College
LD44508,Rishikesh,"All India Institute of Medical Sciences, Rishikesh",2nd,Business Analytics,LinkedIn
LD44509,Rishikesh,Uttarakhand Sanskrit University,3rd,Prompt Engineering,Instagram
LD44510,Srinagar,National Institute of Technology Srinagar,3rd,Robotics,WhatsApp
LD44511,Chennai,University of Madras,3rd,Prompt Engineering,LinkedIn
LD44512,Kolkata,Indian Statistical Institute,2nd,Data Science,Collaboration
LD44513,Agra,Hindustan College of Science and Technology,3rd,Accounting,College
LD44514,Srinagar,Amar Singh College,3rd,Software Engineering,Instagram
LD44515,Amritsar,"Khalsa College, Amritsar",1st,Business Analytics,LinkedIn
LD44516,Agra,Dr. Bhimrao Ambedkar University,4th,Business Analytics,WhatsApp
LD44517,Pune,"College of Engineering, Pune",3rd,Software Engineering,LinkedIn
LD44518,Bangalore,Indian Institute of Science,4th,Finance,LinkedIn
LD44519,Agra,Hindustan College of Science and Technology,1st,AI,Mass-Mailing
LD44520,Amritsar,Guru Nanak Dev University,3rd,Data Science,Instagram
LD44521,Mysore,All India Institute of Speech and Hearing,2nd,Data Analytics,Google Form
LD44522,Varanasi,Banaras Hindu University,1st,Software Engineering,Google Form
LD44523,Amritsar,Sri Guru Ram Das University of Health Sciences,3rd,Electric Vehicle,College
LD44524,Shimla,Himachal Pradesh University,2nd,Prompt Engineering,Collaboration
LD44525,Bangalore,Bangalore University,3rd,Electric Vehicle,Instagram
LD44526,Lucknow,University of Lucknow,1st,Electric Vehicle,Mass-Mailing
LD44527,Agra,Dayalbagh Educational Institute,3rd,Electric Vehicle,WhatsApp
LD44528,Chennai,Anna University,1st,Accounting,Collaboration
LD44529,Amritsar,"Khalsa College, Amritsar",4th,Data Analytics,College
LD44530,Chennai,Loyola College,1st,Software Engineering,Mass-Mailing
LD44531,Shimla,"DAV Centenary Public School, Shimla",3rd,Software Engineering,College
LD44532,Ahmedabad,Indian Institute of Management Ahmedabad,3rd,Data Science,Collaboration
LD44533,Shimla,Himachal Pradesh University,3rd,Data Science,WhatsApp
LD44534,Goa,"Birla Institute of Technology and Science, Goa",3rd,AI,LinkedIn
LD44535,Chennai,Anna University,1st,Robotics,Mass-Mailing
LD44536,Chennai,Madras Christian College,1st,Finance,Instagram
LD44537,Rishikesh,Uttarakhand Sanskrit University,1st,Business Analytics,College
LD44538,Varanasi,Mahatma Gandhi Kashi Vidyapith,2nd,Prompt Engineering,WhatsApp
LD44539,Jaipur,University of Rajasthan,3rd,Accounting,WhatsApp
LD44540,Kolkata,University of Calcutta,3rd,Data Science,Instagram
LD44541,Pune,University of Pune,4th,Accounting,Mass-Mailing
LD44542,Jaipur,Manipal University Jaipur,3rd,Data Analytics,LinkedIn
LD44543,Lucknow,Indian Institute of Management Lucknow,2nd,Business Analytics,College
LD44544,Mysore,JSS Academy of Higher Education & Research,1st,Electric Vehicle,WhatsApp
LD44545,Mysore,University of Mysore,4th,Prompt Engineering,Instagram
LD44546,Bangalore,Indian Institute of Management Bangalore,2nd,AI,WhatsApp
LD44547,Mumbai,Narsee Monjee Institute of Management Studies,4th,Prompt Engineering,WhatsApp
LD44548,Varanasi,Central Hindu School,2nd,Software Engineering,College
LD44549,Jaipur,Malaviya National Institute of Technology Jaipur,4th,AI,Collaboration
LD44550,Mumbai,Tata Institute of Social Sciences,1st,Software Engineering,WhatsApp
LD44551,Delhi,Jawaharlal Nehru University,2nd,Finance,WhatsApp
LD44552,Mumbai,Tata Institute of Social Sciences,4th,Prompt Engineering,Instagram
LD44553,Varanasi,Mahatma Gandhi Kashi Vidyapith,4th,Finance,Instagram
LD44554,Chennai,Madras Christian College,1st,Data Analytics,Mass-Mailing
LD44555,Goa,Padre Conceicao College of Engineering,3rd,Prompt Engineering,Instagram
LD44556,Shimla,Indira Gandhi Medical College,1st,AI,College
LD44557,Rishikesh,Sri Hemkunt Sahib Public School,2nd,Prompt Engineering,Mass-Mailing
LD44558,Bangalore,Bangalore University,4th,Software Engineering,Collaboration
LD44559,Mysore,All India Institute of Speech and Hearing,1st,Finance,College
LD44560,Hyderabad,"Jawaharlal Nehru Technological University, Hyderabad",1st,Data Science,WhatsApp
LD44561,Goa,"Birla Institute of Technology and Science, Goa",3rd,AI,Mass-Mailing
LD44562,Mumbai,Tata Institute of Social Sciences,1st,Robotics,Collaboration
LD44563,Pune,University of Pune,4th,Finance,Collaboration
LD44564,Pune,"College of Engineering, Pune",1st,Business Analytics,LinkedIn
LD44565,Rishikesh,Dev Sanskriti Vishwavidyalaya,4th,Prompt Engineering,Collaboration
LD44566,Hyderabad,Osmania University,4th,Robotics,WhatsApp
LD44567,Pune,Symbiosis International University,1st,Electric Vehicle,LinkedIn
LD44568,Mysore,JSS Academy of Higher Education & Research,3rd,Finance,College
LD44569,Lucknow,Indian Institute of Management Lucknow,4th,Data Science,Instagram
LD44570,Bangalore,Bangalore University,1st,Robotics,Instagram
LD44571,Goa,National Institute of Oceanography,3rd,Business Analytics,LinkedIn
LD44572,Bangalore,Indian Institute of Science,4th,Finance,Google Form
LD44573,Varanasi,Sampurnanand Sanskrit University,1st,Prompt Engineering,Mass-Mailing
LD44574,Srinagar,National Institute of Technology Srinagar,4th,Electric Vehicle,Google Form
LD44575,Mysore,All India Institute of Speech and Hearing,4th,AI,Mass-Mailing
LD44576,Mumbai,Tata Institute of Social Sciences,3rd,Software Engineering,Google Form
LD44577,Ahmedabad,Indian Institute of Management Ahmedabad,1st,Accounting,WhatsApp
LD44578,Rishikesh,Uttarakhand Sanskrit University,3rd,Prompt Engineering,LinkedIn
LD44579,Udaipur,Pacific University,2nd,Robotics,WhatsApp
LD44580,Udaipur,Vidya Bhawan Polytechnic College,2nd,Accounting,Collaboration
LD44581,Kolkata,Indian Statistical Institute,1st,Software Engineering,Collaboration
LD44582,Ahmedabad,Nirma University,2nd,Data Science,Mass-Mailing
LD44583,Varanasi,Sampurnanand Sanskrit University,3rd,Prompt Engineering,Mass-Mailing
LD44584,Agra,Dayalbagh Educational Institute,3rd,Finance,WhatsApp
LD44585,Rishikesh,Dev Sanskriti Vishwavidyalaya,4th,AI,LinkedIn
LD44586,Bangalore,Indian Institute of Science,1st,AI,Google Form
LD44587,Delhi,University of Delhi,3rd,AI,LinkedIn
LD44588,Amritsar,Sri Guru Ram Das University of Health Sciences,3rd,Robotics,Collaboration
LD44589,Kolkata,Jadavpur University,2nd,Accounting,Google Form
LD44590,Agra,Dr. Bhimrao Ambedkar University,4th,Electric Vehicle,Mass-Mailing
LD44591,Udaipur,Pacific University,1st,Data Science,LinkedIn
LD44592,Shimla,Indira Gandhi Medical College,3rd,Accounting,Instagram
LD44593,Udaipur,Janardan Rai Nagar Rajasthan Vidyapeeth University,1st,Prompt Engineering,Mass-Mailing
LD44594,Delhi,Indian Institute of Technology Delhi,4th,Data Analytics,Google Form
LD44595,Rishikesh,Dev Sanskriti Vishwavidyalaya,3rd,Electric Vehicle,Instagram
LD44596,Goa,Padre Conceicao College of Engineering,4th,Accounting,College
LD44597,Chennai,Indian Institute of Technology Madras,4th,Finance,Collaboration
LD44598,Varanasi,Sampurnanand Sanskrit University,3rd,Prompt Engineering,LinkedIn
LD44599,Goa,Padre Conceicao College of Engineering,1st,Robotics,Google Form
LD44600,Rishikesh,Dev Sanskriti Vishwavidyalaya,2nd,Robotics,WhatsApp
LD44601,Srinagar,University of Kashmir,2nd,Business Analytics,Instagram
LD44602,Chennai,University of Madras,1st,Electric Vehicle,WhatsApp
LD44603,Hyderabad,Indian Institute of Technology Hyderabad,1st,Software Engineering,LinkedIn
LD44604,Shimla,St. Bede's College,4th,AI,Mass-Mailing
LD44605,Bangalore,Indian Institute of Management Bangalore,1st,Prompt Engineering,Google Form
LD44606,Bangalore,Christ University,1st,Finance,Google Form
LD44607,Pune,Indian Institute of Technology Pune,4th,Data Analytics,LinkedIn
LD44608,Agra,Hindustan College of Science and Technology,2nd,Data Analytics,Google Form
LD44609,Jaipur,University of Rajasthan,1st,Electric Vehicle,Collaboration
LD44610,Udaipur,Mohanlal Sukhadia University,2nd,Finance,LinkedIn
LD44611,Hyderabad,"Jawaharlal Nehru Technological University, Hyderabad",3rd,Electric Vehicle,Instagram
LD44612,Hyderabad,Indian Institute of Technology Hyderabad,4th,Data Analytics,Collaboration
LD44613,Bangalore,Indian Institute of Management Bangalore,2nd,Electric Vehicle,WhatsApp
LD44614,Mysore,"National Institute of Engineering, Mysore",2nd,AI,College
LD44615,Ahmedabad,Gujarat University,2nd,Data Analytics,Mass-Mailing
LD44616,Goa,"Birla Institute of Technology and Science, Goa",2nd,Electric Vehicle,Collaboration
LD44617,Mumbai,St. Xavier's College,1st,Robotics,LinkedIn
LD44618,Lucknow,Babasaheb Bhimrao Ambedkar University,3rd,Robotics,LinkedIn
LD44619,Shimla,Himachal Pradesh University,3rd,Prompt Engineering,Mass-Mailing
LD44620,Delhi,Indian Institute of Technology Delhi,2nd,Robotics,LinkedIn
LD44621,Delhi,University of Delhi,4th,Robotics,Google Form
LD44622,Hyderabad,Osmania University,4th,Accounting,LinkedIn
LD44623,Mysore,Mahajana Education Society,2nd,Business Analytics,Mass-Mailing
LD44624,Shimla,Indian Institute of Advanced Study,1st,AI,WhatsApp
LD44625,Amritsar,BBK DAV College for Women,3rd,Accounting,Mass-Mailing
LD44626,Agra,St. John's College,1st,Electric Vehicle,Collaboration
LD44627,Udaipur,Vidya Bhawan Polytechnic College,1st,Prompt Engineering,College
LD44628,Kolkata,Presidency University,1st,Accounting,Google Form
LD44629,Hyderabad,University of Hyderabad,4th,Accounting,Google Form
LD44630,Agra,St. John's College,1st,AI,LinkedIn
LD44631,Hyderabad,University of Hyderabad,2nd,Data Science,College
LD44632,Kolkata,Jadavpur University,3rd,Business Analytics,Collaboration
LD44633,Lucknow,Babasaheb Bhimrao Ambedkar University,4th,Prompt Engineering,WhatsApp
LD44634,Bangalore,Bangalore University,1st,Finance,Collaboration
LD44635,Shimla,Indian Institute of Advanced Study,1st,Accounting,Mass-Mailing
LD44636,Mumbai,Indian Institute of Technology Bombay,3rd,Software Engineering,WhatsApp
LD44637,Agra,Dr. Bhimrao Ambedkar University,4th,Electric Vehicle,LinkedIn
LD44638,Varanasi,Sampurnanand Sanskrit University,3rd,Electric Vehicle,LinkedIn
LD44639,Hyderabad,"Jawaharlal Nehru Technological University, Hyderabad",2nd,Business Analytics,Collaboration
LD44640,Mysore,Mahajana Education Society,2nd,Data Analytics,Mass-Mailing
LD44641,Mysore,All India Institute of Speech and Hearing,4th,Robotics,WhatsApp
LD44642,Amritsar,"Khalsa College, Amritsar",1st,AI,Google Form
LD44643,Shimla,St. Bede's College,4th,Prompt Engineering,Mass-Mailing
LD44644,Mysore,University of Mysore,2nd,Finance,Google Form
LD44645,Jaipur,"Birla Institute of Technology and Science, Pilani",2nd,Robotics,Google Form
LD44646,Pune,Symbiosis International University,1st,Accounting,Google Form
LD44647,Kolkata,Jadavpur University,4th,Business Analytics,Instagram
LD44648,Pune,Indian Institute of Technology Pune,1st,Data Analytics,Instagram
LD44649,Srinagar,National Institute of Technology Srinagar,4th,Accounting,Google Form
LD44650,Udaipur,Mohanlal Sukhadia University,2nd,Electric Vehicle,Instagram
LD44651,Mumbai,Indian Institute of Technology Bombay,3rd,Accounting,College
LD44652,Mumbai,Indian Institute of Technology Bombay,1st,Robotics,Google Form
LD44653,Delhi,University of Delhi,2nd,Electric Vehicle,LinkedIn
LD44654,Varanasi,Sampurnanand Sanskrit University,4th,Electric Vehicle,Mass-Mailing
LD44655,Rishikesh,Uttarakhand Sanskrit University,2nd,Software Engineering,College
LD44656,Srinagar,National Institute of Technology Srinagar,3rd,AI,College
LD44657,Pune,University of Pune,1st,Robotics,LinkedIn
LD44658,Chennai,Loyola College,1st,Business Analytics,Mass-Mailing
LD44659,Rishikesh,"All India Institute of Medical Sciences, Rishikesh",4th,Finance,Instagram
LD44660,Chennai,University of Madras,4th,Robotics,College
LD44661,Mysore,All India Institute of Speech and Hearing,1st,AI,Google Form
LD44662,Pune,"College of Engineering, Pune",2nd,Data Science,Collaboration
LD44663,Pune,Indian Institute of Technology Pune,2nd,Business Analytics,LinkedIn
LD44664,Pune,Indian Institute of Technology Pune,2nd,Data Analytics,Mass-Mailing
LD44665,Mysore,"National Institute of Engineering, Mysore",4th,Business Analytics,WhatsApp
LD44666,Srinagar,"Government Medical College, Srinagar",4th,Robotics,LinkedIn
LD44667,Kolkata,Indian Statistical Institute,2nd,Data Analytics,Instagram
LD44668,Delhi,All India Institute of Medical Sciences,3rd,Accounting,Collaboration
LD44669,Agra,Hindustan College of Science and Technology,4th,Finance,WhatsApp
LD44670,Kolkata,Presidency University,2nd,Data Analytics,College
LD44671,Lucknow,University of Lucknow,1st,Software Engineering,Google Form
LD44672,Amritsar,"Khalsa College, Amritsar",2nd,Business Analytics,Instagram
LD44673,Srinagar,"Government Medical College, Srinagar",2nd,Finance,College
LD44674,Delhi,Jawaharlal Nehru University,3rd,Prompt Engineering,LinkedIn
LD44675,Hyderabad,"Jawaharlal Nehru Technological University, Hyderabad",4th,AI,LinkedIn
LD44676,Mumbai,University of Mumbai,1st,Data Analytics,Mass-Mailing
LD44677,Amritsar,Guru Nanak Dev University,4th,Data Science,WhatsApp
LD44678,Pune,Indian Institute of Technology Pune,2nd,Data Science,Google Form
LD44679,Ahmedabad,Indian Institute of Technology Gandhinagar,4th,Data Analytics,Instagram
LD44680,Pune,Indian Institute of Technology Pune,2nd,Robotics,College
LD44681,Ahmedabad,Indian Institute of Technology Gandhinagar,1st,Business Analytics,Google Form
LD44682,Rishikesh,Dev Sanskriti Vishwavidyalaya,2nd,Data Analytics,Collaboration
LD44683,Mysore,All India Institute of Speech and Hearing,2nd,Accounting,Instagram
LD44684,Varanasi,Ashoka Institute of Technology and Management,1st,AI,Instagram
LD44685,Lucknow,Indian Institute of Management Lucknow,1st,Accounting,Google Form
LD44686,Jaipur,"Birla Institute of Technology and Science, Pilani",3rd,Data Science,College
LD44687,Hyderabad,"Jawaharlal Nehru Technological University, Hyderabad",3rd,Electric Vehicle,LinkedIn
LD44688,Hyderabad,"Jawaharlal Nehru Technological University, Hyderabad",2nd,Accounting,College
LD44689,Kolkata,Indian Statistical Institute,3rd,AI,Collaboration
LD44690,Ahmedabad,Gujarat University,1st,AI,College
LD44691,Goa,"Birla Institute of Technology and Science, Goa",4th,Finance,LinkedIn
LD44692,Pune,"College of Engineering, Pune",1st,Electric Vehicle,Collaboration
LD44693,Rishikesh,"All India Institute of Medical Sciences, Rishikesh",2nd,Finance,WhatsApp
LD44694,Delhi,All India Institute of Medical Sciences,3rd,Data Science,WhatsApp
LD44695,Delhi,Jawaharlal Nehru University,3rd,Accounting,WhatsApp
LD44696,Mysore,University of Mysore,2nd,Finance,Google Form
LD44697,Rishikesh,Dev Sanskriti Vishwavidyalaya,3rd,Accounting,Collaboration
LD44698,Varanasi,Ashoka Institute of Technology and Management,1st,Finance,Instagram
LD44699,Lucknow,University of Lucknow,4th,Data Analytics,Collaboration
LD44700,Ahmedabad,Indian Institute of Management Ahmedabad,1st,Software Engineering,College
LD44701,Jaipur,University of Rajasthan,2nd,Data Science,Instagram
LD44702,Varanasi,Mahatma Gandhi Kashi Vidyapith,2nd,Data Science,Google Form
LD44703,Pune,"College of Engineering, Pune",3rd,Data Science,Collaboration
LD44704,Jaipur,Manipal University Jaipur,2nd,Prompt Engineering,WhatsApp
LD44705,Amritsar,Sri Guru Ram Das University of Health Sciences,1st,Robotics,Mass-Mailing
LD44706,Rishikesh,"All India Institute of Medical Sciences, Rishikesh",1st,Robotics,Collaboration
LD44707,Bangalore,Bangalore University,2nd,AI,LinkedIn
LD44708,Hyderabad,"Jawaharlal Nehru Technological University, Hyderabad",4th,Robotics,College
LD44709,Mysore,University of Mysore,2nd,Robotics,Instagram
LD44710,Mysore,All India Institute of Speech and Hearing,2nd,Software Engineering,Collaboration
LD44711,Delhi,Indian Institute of Technology Delhi,4th,Robotics,Collaboration
LD44712,Jaipur,"Birla Institute of Technology and Science, Pilani",2nd,Software Engineering,Google Form
LD44713,Agra,Dayalbagh Educational Institute,1st,Finance,College
LD44714,Ahmedabad,Nirma University,1st,Business Analytics,College
LD44715,Chennai,Madras Christian College,1st,Business Analytics,Mass-Mailing
LD44716,Pune,University of Pune,4th,Business Analytics,Mass-Mailing
LD44717,Chennai,Anna University,1st,AI,Instagram
LD44718,Jaipur,University of Rajasthan,4th,Finance,College
LD44719,Srinagar,National Institute of Technology Srinagar,4th,Software Engineering,LinkedIn
LD44720,Ahmedabad,CEPT University,4th,Business Analytics,Instagram
LD44721,Agra,Hindustan College of Science and Technology,2nd,Robotics,College
LD44722,Chennai,Indian Institute of Technology Madras,2nd,Robotics,Mass-Mailing
LD44723,Pune,Indian Institute of Technology Pune,1st,Accounting,College
LD44724,Rishikesh,"All India Institute of Medical Sciences, Rishikesh",3rd,Software Engineering,Collaboration
LD44725,Kolkata,Indian Institute of Technology Kharagpur,3rd,Software Engineering,College
LD44726,Varanasi,Sampurnanand Sanskrit University,2nd,AI,Instagram
LD44727,Shimla,Indira Gandhi Medical College,1st,Data Science,College
LD44728,Agra,Dayalbagh Educational Institute,4th,Electric Vehicle,Mass-Mailing
LD44729,Varanasi,Banaras Hindu University,2nd,AI,LinkedIn
